38.4, 2
38.0, 2
38.5, 2
37.3, 2
39.8, 2
39.4, 2
36.7, 2
33.7, 2
34.6, 2
33.3, 2
38.1, 2
38.1, 2
37.5, 2
38.4, 2
38.3, 2
37.5, 2
34.0, 2
33.5, 2
34.3, 2
34.1, 2
38.5, 2
38.8, 2
38.1, 2
38.8, 2
39.5, 2
37.4, 2
34.1, 2
33.9, 2
32.4, 2
33.3, 2
39.7, 2
37.8, 2
39.3, 2
38.6, 2
38.2, 2
38.7, 2
35.8, 2
33.6, 2
34.3, 2
34.1, 2
38.0, 2
36.5, 2
35.0, 2
36.0, 2
34.6, 2
34.8, 2
30.4, 2
30.7, 2
30.3, 2
31.1, 2
35.2, 2
34.4, 2
34.1, 2
34.8, 2
34.1, 2
32.1, 2
29.3, 2
30.0, 2
30.6, 2
31.9, 2
38.8, 2
38.9, 2
39.4, 2
38.7, 2
39.3, 2
39.0, 2
38.8, 2
37.9, 2
38.2, 2
37.7, 2
38.9, 2
38.1, 2
39.1, 2
38.7, 2
38.5, 2
38.3, 2
38.3, 2
39.0, 2
39.5, 2
39.3, 2
38.2, 2
38.4, 2
38.5, 2
37.6, 2
39.8, 2
39.6, 2
39.4, 2
39.2, 2
40.0, 2
38.4, 2
39.0, 2
39.3, 2
38.1, 2
38.3, 2
38.6, 2
39.0, 2
39.5, 2
39.5, 2
39.6, 2
38.8, 2
39.8, 2
38.8, 2
38.2, 2
38.9, 2
38.5, 2
38.1, 2
38.6, 2
39.2, 2
40.0, 2
39.2, 2
39.4, 2
39.5, 2
39.4, 2
39.5, 2
39.2, 2
39.2, 2
38.5, 2
34.2, 2
34.3, 2
35.0, 2
38.2, 2
38.0, 2
38.1, 2
37.0, 2
38.1, 2
37.8, 2
34.4, 2
33.5, 2
33.3, 2
32.9, 2
39.0, 2
38.5, 2
38.3, 2
38.7, 2
38.5, 2
38.7, 2
33.9, 2
34.4, 2
34.9, 2
34.4, 2
38.2, 2
38.5, 2
38.2, 2
39.0, 2
37.4, 2
37.8, 2
35.1, 2
34.2, 2
33.8, 2
33.3, 2
